                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.33031,                0.46991,                0.98363,                0.89867,                0.92712,                0.95357,                0.93175,                0.28368,                0.21727,                0.89271,              0.0069706,              0.0069706,              0.0069706
                    156,                0.32888,                0.45497,                0.98376,                0.86991,                0.96366,                0.95241,                0.93055,                0.28289,                0.21821,                0.89162,              0.0069508,              0.0069508,              0.0069508
                    157,                0.32875,                0.46996,                0.98591,                0.86733,                0.96586,                0.95196,                0.93018,                0.28242,                0.21765,                0.89051,               0.006931,               0.006931,               0.006931
                    158,                0.32704,                 0.4594,                0.97952,                0.86847,                0.96505,                0.95319,                 0.9319,                 0.2816,                0.21626,                0.88962,              0.0069112,              0.0069112,              0.0069112
                    159,                0.33079,                0.46102,                0.98596,                0.90569,                0.92199,                0.95352,                0.93105,                0.28091,                0.21589,                0.88784,              0.0068914,              0.0068914,              0.0068914
                    160,                0.32946,                0.46369,                0.98401,                0.86861,                0.96503,                0.95686,                0.93544,                0.27993,                0.21398,                0.88685,              0.0068716,              0.0068716,              0.0068716
                    161,                0.33027,                0.46321,                 0.9792,                0.89712,                0.92786,                0.95453,                0.93309,                0.27959,                0.21483,                0.88608,              0.0068518,              0.0068518,              0.0068518
                    162,                0.32363,                0.45053,                0.98185,                0.89618,                0.93152,                0.95609,                0.93463,                0.28078,                0.21468,                0.88756,               0.006832,               0.006832,               0.006832
                    163,                0.32313,                0.44684,                0.97926,                0.88607,                0.94613,                0.95639,                0.93485,                0.27981,                0.21389,                0.88691,              0.0068122,              0.0068122,              0.0068122
                    164,                0.31718,                0.44233,                0.97728,                0.88821,                0.94733,                0.95779,                0.93655,                0.27871,                0.21047,                0.88617,              0.0067924,              0.0067924,              0.0067924
                    165,                0.32749,                 0.4551,                0.98379,                0.89984,                0.93335,                0.95786,                0.93588,                0.27752,                0.21004,                0.88524,              0.0067726,              0.0067726,              0.0067726
                    166,                0.31898,                0.45446,                0.98206,                0.89548,                0.94571,                0.95842,                0.93757,                0.27717,                0.20992,                0.88511,              0.0067528,              0.0067528,              0.0067528
                    167,                0.31382,                0.44298,                0.97707,                0.88003,                0.95848,                0.95833,                0.93567,                0.27661,                0.20953,                0.88523,               0.006733,               0.006733,               0.006733
                    168,                0.31736,                0.45187,                0.97508,                0.87141,                0.96583,                0.95794,                0.93582,                0.27729,                0.20897,                0.88626,              0.0067132,              0.0067132,              0.0067132
                    169,                0.31387,                0.43874,                0.97925,                 0.8692,                 0.9704,                0.95907,                0.93761,                0.27731,                0.20862,                 0.8863,              0.0066934,              0.0066934,              0.0066934
                    170,                0.32033,                0.44244,                0.97743,                0.87545,                0.96405,                0.95935,                 0.9374,                0.27723,                0.20922,                0.88643,              0.0066736,              0.0066736,              0.0066736
                    171,                0.31867,                0.44892,                0.97803,                0.87994,                0.95622,                 0.9605,                0.93876,                0.27539,                0.20723,                0.88417,              0.0066538,              0.0066538,              0.0066538
                    172,                0.31537,                0.44999,                0.97504,                0.89575,                0.94404,                0.96144,                0.94022,                 0.2744,                0.20715,                 0.8836,               0.006634,               0.006634,               0.006634
                    173,                  0.316,                0.44851,                0.97561,                0.90953,                0.93234,                0.96102,                0.94058,                0.27345,                0.20624,                0.88327,              0.0066142,              0.0066142,              0.0066142
                    174,                0.31948,                0.44892,                0.97917,                0.90195,                0.93748,                0.96061,                0.93884,                0.27282,                0.20586,                0.88237,              0.0065944,              0.0065944,              0.0065944
                    175,                0.31098,                0.43401,                0.97665,                0.90063,                0.93636,                0.95957,                0.93876,                0.27221,                0.20722,                0.88204,              0.0065746,              0.0065746,              0.0065746
                    176,                0.31918,                0.45107,                0.97726,                0.90221,                0.93417,                0.95166,                0.93101,                0.27178,                0.20786,                0.88206,              0.0065548,              0.0065548,              0.0065548
                    177,                0.31577,                0.43768,                0.97497,                0.89806,                0.93865,                0.95184,                0.93166,                0.27149,                0.20772,                0.88183,               0.006535,               0.006535,               0.006535
                    178,                0.31496,                 0.4377,                0.97474,                0.90472,                0.93225,                0.95876,                0.93872,                 0.2709,                0.20724,                0.88136,              0.0065152,              0.0065152,              0.0065152
                    179,                0.31357,                0.43133,                0.97362,                0.89839,                0.94198,                 0.9594,                0.93968,                0.27075,                0.20715,                0.88117,              0.0064954,              0.0064954,              0.0064954
                    180,                0.30823,                0.43016,                0.97209,                0.91038,                0.92761,                0.95918,                 0.9393,                0.27016,                0.20654,                 0.8807,              0.0064756,              0.0064756,              0.0064756
                    181,                 0.3188,                0.45066,                0.97886,                0.92187,                0.92424,                0.95803,                0.93816,                0.26934,                 0.2069,                0.87987,              0.0064558,              0.0064558,              0.0064558
                    182,                0.31442,                 0.4355,                0.97724,                 0.9195,                0.92475,                0.95758,                0.93794,                0.26908,                0.20776,                0.88008,               0.006436,               0.006436,               0.006436
                    183,                0.30882,                0.42487,                0.97393,                0.91958,                0.92454,                0.95735,                0.93741,                0.26912,                0.20757,                0.88031,              0.0064162,              0.0064162,              0.0064162
                    184,                0.31044,                0.43884,                0.97287,                0.91911,                0.92497,                0.95791,                0.93772,                0.26916,                0.20727,                0.88026,              0.0063964,              0.0063964,              0.0063964
                    185,                0.30972,                0.43567,                 0.9765,                0.92346,                0.92132,                0.95829,                0.93825,                0.26887,                0.20793,                0.88001,              0.0063766,              0.0063766,              0.0063766
                    186,                0.30333,                0.42495,                0.97154,                0.92602,                0.92083,                0.96044,                0.94025,                0.26861,                0.20772,                0.87972,              0.0063568,              0.0063568,              0.0063568
                    187,                0.30631,                 0.4219,                0.97288,                0.92614,                0.92494,                0.95993,                0.93983,                 0.2685,                0.20811,                 0.8798,               0.006337,               0.006337,               0.006337
                    188,                0.30446,                0.42193,                 0.9719,                0.92435,                0.92603,                0.95989,                 0.9401,                0.26846,                0.20756,                0.88004,              0.0063172,              0.0063172,              0.0063172
                    189,                0.30279,                0.42402,                0.97173,                0.92547,                0.92507,                0.96005,                0.94052,                0.26835,                0.20751,                   0.88,              0.0062974,              0.0062974,              0.0062974
                    190,                0.30571,                  0.438,                0.97342,                 0.9261,                0.92759,                0.95911,                0.93963,                0.26842,                0.20701,                0.88018,              0.0062776,              0.0062776,              0.0062776
                    191,                0.30178,                0.42236,                0.97078,                0.92637,                0.92859,                 0.9615,                0.94207,                0.26865,                0.20692,                0.88082,              0.0062578,              0.0062578,              0.0062578
                    192,                0.30227,                0.43114,                0.97284,                0.92523,                0.92787,                0.96145,                0.94215,                0.26846,                0.20733,                 0.8811,               0.006238,               0.006238,               0.006238
                    193,                0.29839,                0.41759,                0.96726,                0.92546,                0.92833,                0.96226,                0.94308,                0.26817,                0.20624,                0.88121,              0.0062182,              0.0062182,              0.0062182
                    194,                0.30529,                0.43346,                0.97217,                0.92465,                0.92862,                0.96234,                0.94326,                0.26783,                0.20525,                0.88088,              0.0061984,              0.0061984,              0.0061984
                    195,                0.29418,                0.41718,                0.96582,                0.92527,                0.93033,                0.96287,                0.94385,                0.26759,                0.20474,                0.88077,              0.0061786,              0.0061786,              0.0061786
                    196,                0.29834,                0.42328,                0.96805,                0.92629,                0.93379,                0.96327,                 0.9444,                0.26704,                0.20446,                0.88061,              0.0061588,              0.0061588,              0.0061588
                    197,                0.29499,                0.41346,                0.96676,                0.92832,                0.93364,                0.96336,                0.94352,                0.26677,                 0.2048,                0.88027,               0.006139,               0.006139,               0.006139
                    198,                0.29558,                0.42283,                0.97253,                0.92669,                0.93533,                0.96295,                0.94352,                0.26631,                0.20512,                0.87995,              0.0061192,              0.0061192,              0.0061192
                    199,                0.29032,                0.40836,                0.96447,                0.92345,                0.93624,                0.96313,                0.94202,                0.26556,                0.20574,                0.87941,              0.0060994,              0.0060994,              0.0060994
                    200,                0.29058,                0.40767,                0.96495,                0.92551,                0.93622,                0.96339,                0.94374,                0.26508,                 0.2061,                0.87913,              0.0060796,              0.0060796,              0.0060796
                    201,                0.29445,                0.40563,                0.96635,                0.92243,                0.93654,                 0.9624,                 0.9415,                0.26484,                0.20693,                0.87867,              0.0060598,              0.0060598,              0.0060598
                    202,                0.29721,                0.41372,                0.96139,                0.91955,                 0.9379,                0.96312,                 0.9432,                0.26449,                0.20663,                0.87839,                0.00604,                0.00604,                0.00604
                    203,                0.29207,                0.40511,                0.96371,                0.91066,                0.94086,                  0.963,                0.94306,                0.26408,                0.20763,                0.87802,              0.0060202,              0.0060202,              0.0060202
                    204,                0.28759,                0.40429,                0.96611,                0.90642,                0.94372,                0.96314,                0.94331,                0.26362,                0.20832,                 0.8779,              0.0060004,              0.0060004,              0.0060004
                    205,                0.29001,                0.41021,                0.96227,                 0.8984,                0.95144,                0.96286,                0.94324,                0.26314,                0.20863,                0.87738,              0.0059806,              0.0059806,              0.0059806
                    206,                0.29238,                 0.4104,                0.96336,                0.89834,                0.95157,                0.96316,                0.94371,                0.26267,                0.20902,                0.87713,              0.0059608,              0.0059608,              0.0059608
                    207,                0.29007,                0.41495,                0.96479,                0.89846,                0.95581,                0.96308,                0.94365,                0.26216,                0.20842,                0.87675,               0.005941,               0.005941,               0.005941
                    208,                0.28545,                0.40661,                0.96574,                0.88975,                0.96105,                0.96319,                0.94403,                0.26156,                 0.2072,                0.87651,              0.0059212,              0.0059212,              0.0059212
                    209,                 0.2903,                0.40118,                0.96541,                0.93171,                0.92642,                0.96331,                0.94486,                0.26129,                0.20735,                0.87607,              0.0059014,              0.0059014,              0.0059014
                    210,                0.28622,                0.40014,                0.96539,                0.93233,                0.92665,                 0.9635,                0.94435,                0.26116,                0.20813,                0.87643,              0.0058816,              0.0058816,              0.0058816
                    211,                0.28646,                0.40812,                0.96463,                0.93333,                0.92627,                0.96357,                0.94493,                0.26116,                0.20855,                0.87669,              0.0058618,              0.0058618,              0.0058618
                    212,                0.28785,                0.39726,                0.96132,                0.92901,                0.92755,                0.96381,                0.94514,                0.26111,                 0.2082,                0.87692,               0.005842,               0.005842,               0.005842
                    213,                0.28437,                0.38103,                0.96218,                0.92957,                0.92786,                0.96381,                0.94452,                0.26107,                  0.208,                0.87702,              0.0058222,              0.0058222,              0.0058222
                    214,                0.28587,                0.39193,                0.96503,                0.92971,                0.92735,                0.96352,                0.94523,                0.26074,                0.20749,                0.87682,              0.0058024,              0.0058024,              0.0058024
                    215,                0.28627,                0.39894,                0.96294,                0.88828,                0.96249,                0.96355,                0.94537,                0.26041,                  0.207,                0.87691,              0.0057826,              0.0057826,              0.0057826
                    216,                0.28188,                0.39784,                0.96315,                0.92638,                0.93176,                0.96351,                0.94574,                0.26011,                0.20695,                0.87663,              0.0057628,              0.0057628,              0.0057628
                    217,                0.28063,                0.40001,                0.96014,                0.92685,                 0.9316,                0.96327,                 0.9457,                0.25964,                0.20631,                0.87631,               0.005743,               0.005743,               0.005743
                    218,                0.28464,                0.40052,                0.96561,                0.92735,                0.93207,                0.96326,                0.94513,                 0.2592,                0.20617,                0.87618,              0.0057232,              0.0057232,              0.0057232
                    219,                 0.2808,                0.38817,                0.96035,                0.92575,                0.93239,                0.96339,                0.94551,                0.25876,                0.20623,                0.87586,              0.0057034,              0.0057034,              0.0057034
                    220,                 0.2798,                0.39107,                0.95881,                0.92534,                0.93292,                0.96327,                0.94549,                0.25846,                0.20531,                0.87566,              0.0056836,              0.0056836,              0.0056836
                    221,                0.27984,                0.38489,                0.96286,                0.92526,                0.93371,                0.96327,                0.94529,                 0.2582,                0.20594,                0.87574,              0.0056638,              0.0056638,              0.0056638
                    222,                0.27952,                0.39127,                0.95944,                0.92494,                 0.9327,                0.96324,                0.94516,                  0.258,                0.20626,                0.87577,               0.005644,               0.005644,               0.005644
                    223,                0.27754,                0.38233,                0.95688,                0.88842,                0.96133,                0.96319,                0.94517,                0.25764,                0.20659,                0.87551,              0.0056242,              0.0056242,              0.0056242
                    224,                0.27796,                0.39228,                0.95824,                0.92505,                0.93305,                0.96354,                0.94531,                0.25739,                0.20712,                0.87551,              0.0056044,              0.0056044,              0.0056044
                    225,                0.27718,                0.39558,                0.96308,                0.92407,                0.93325,                0.96334,                0.94507,                0.25722,                0.20685,                0.87525,              0.0055846,              0.0055846,              0.0055846
                    226,                0.27032,                0.37486,                0.95468,                0.92374,                0.93392,                0.96359,                0.94581,                0.25713,                0.20631,                0.87508,              0.0055648,              0.0055648,              0.0055648
                    227,                0.27423,                0.38489,                0.95631,                0.92161,                0.93045,                0.96163,                0.94316,                0.25689,                0.20569,                0.87489,               0.005545,               0.005545,               0.005545
                    228,                0.27478,                0.39291,                0.95685,                0.92156,                0.93037,                0.96168,                0.94341,                0.25656,                0.20562,                0.87469,              0.0055252,              0.0055252,              0.0055252
                    229,                0.27138,                0.37648,                0.95648,                0.88911,                0.95546,                0.96169,                0.94307,                0.25626,                0.20563,                0.87453,              0.0055054,              0.0055054,              0.0055054
                    230,                0.27286,                0.38205,                0.95724,                0.89167,                0.95562,                 0.9617,                0.94348,                0.25609,                0.20571,                0.87459,              0.0054856,              0.0054856,              0.0054856
                    231,                0.27446,                0.38736,                0.95753,                0.89419,                0.95481,                0.96172,                0.94311,                0.25595,                0.20526,                0.87448,              0.0054658,              0.0054658,              0.0054658
                    232,                 0.2692,                0.37772,                0.95773,                0.89616,                0.95402,                0.96198,                0.94341,                0.25566,                0.20507,                0.87441,               0.005446,               0.005446,               0.005446
                    233,                0.26542,                0.37391,                0.95019,                0.89808,                0.95141,                 0.9624,                0.94374,                0.25535,                0.20479,                0.87416,              0.0054262,              0.0054262,              0.0054262
